Direct Dependencies,,,,
Spring JDBC,6.1.2,Apache-2.0,,
Spring JMS,6.1.2,Apache-2.0,,
Spring TestContext Framework,6.1.2,Apache-2.0,,
Spring Transaction,6.1.2,Apache-2.0,,
Spring Web,4.0.0.RELEASE,Apache-2.0,,
Spring Web,6.1.2,,Apache-2.0; IETF,
Spring Web MVC,6.1.2,Apache-2.0,,
StAX,1.1.2-dev,GPL-2.0-or-later,,
StAX API,1.0.1,Apache-2.0,,
testng,7.8.0,Apache-2.0,,
tomcat-servlet-api,11.0.0-M15,CDDL-1.0; EPL-2.0; Apache-2.0,GPL-2.0-with-classpath-exception; CDDL-1.1,
TXW2 Runtime,2.2.11,SAX-PD,,
WireMock,3.0.1,Apache-2.0,,
Woodstox,6.4.0,Apache-2.0,,
Woodstox,6.5.1,Apache-2.0,ImageMagick,
xalan,2.7.1,,W3C-19980720; Apache-2.0; Multi-license: Apache-2.0 OR TCL,
XMLWriter,0.2,public-domain,,
XOM,1.3.9,LGPL-2.1-only,LGPL-3.0-only,
xpp3,1.1.3.4.O,,xpp; Apache-1.1,
xpp3_min,1.1.3.4.O,public-domain,,
